PROJECT,PROJECT OWNER,ADDRESS,CITY,CONTRACTOR,CONTRACT NO.,INSPECTION NO.,DATE,# of Drwgs,Drawer,Comments 
Alabama Sports Hall of Fame,Alabama Sports Hall of Fame,2150 Richard Arlngton Jr Blvd N ,Birmingham,Crumpton Sprinkler,,,9/23/1988,1,,
Alabama Sports Medicine,Alabama Sports Medicine,1313 13th St. S ,Birmingham,Alabama Sprinkler,,,8/16/2007,2,2,
Alcoholic Rehab Center of Jeff. County,Alcoholic Rehab Center of Jeff. County,,Birmingham,Crumpton Sprinkler,,,7/7/1982,4,2,
Alcoholic Rehab Center of Jeff. County,Alcoholic Rehab Center of Jeff. County,,Birmingham,Crumpton Sprinkler,,,6/3/1982,3,2,
Aldi Food Store #34,Aldi Food Store #34,520 Gene Reed Rd ,Birmingham,TFP ,TC1336,,12/26/2007,2,,
ALTEC Industries ,ALTEC Industries ,33 Inverness Pkwy,Birmingham,FPS ,,,4/25/2006,1,2,
ALTEC Industries ,ALTEC Industries ,210 Inverness Pkwy,Birmingham,FPS ,,,7/27/2006,1,2,
ALTEC Industries Inc.,ALTEC Industries Inc.,1730 Vanderbelt Rd,Birmingham,Crumpton Sprinkler,,,7/27/1990,1,2,
AMCHEX ,AMCHEX ,1816 3rd Avenue N ,Birmingham,Crumpton Sprinkler,,,8/24/1995,2,2,
American Exhibition Services ,American Exhibition Services ,2700 2nd Avenue S ,Birmingham,Alabama Sprinkler,,,8/14/2002,2,,
American FireLog Corp. ,American FireLog Corp. ,603 Tin Mill Rd,Birmingham,Alabama Sprinkler,,,10/22/1997,1,2,
American FireLog Corp. ,American FireLog Corp. ,603 Tin Mill Rd,Birmingham,Alabama Sprinkler,,,1/4/2005,1,2,
American FireLog Corp. ,American FireLog Corp. ,603 Tin Mill Rd,Birmingham,Alabama Sprinkler,,,7/4/1996,2,,
American FireLog Corp. ,American FireLog Corp. ,603 Tin Mill Rd,Birmingham,Alabama Sprinkler,,,6/22/1998,1,,
American FireLog Corp. ,American FireLog Corp. ,603 Tin Mill Rd,Birmingham,Alabama Sprinkler,,,9/22/1997,1,,
American Firelog Dustcollector ,American Firelog Dustcollector ,603 Tin Mill Rd,Birmingham,Alabama Sprinkler,,,7/4/1996,2,2,
American Lighting New Office/Warehouse Bldg ,American Lighting New Office/Warehouse Bldg ,3012 5th Ave S,Birmingham,TFP ,TC1671,,8/26/2014,2,,
American Printing Inc ,American Printing Inc ,428 Industrial Lane ,Birmingham,TFP ,TC1086,,1/22/2003,1,,
American Red Cross,American Red Cross ,117 W Park Dr,Birmingham,TFP ,TC1092,,10/17/2002,1,,
American Red Cross,UAB ,1802 6th Avenue S,Birmingham,Alabama Sprinkler,,,8/3/2007,2,2,
American Red Cross ,American Red Cross ,1130 22nd St S ,Birmingham,FPS ,,,2/1/2001,1,2,
American Standard,American Standard,211 - 37th St N,Birmingham,Crumpton Sprinkler,,,7/30/1994,1,,Now Standard Fire Equipment 
AMFAC Drug Supply Company ,AMFAC Drug Supply Company ,Bermco Industrial Warehouses,Birmingham,Crumpton Sprinkler,,,8/4/1980,1,,
ARA Manufacturing ,ARA Manufacturing ,1511 - 15 3rd Avenue S,Birmingham,Crumpton Sprinkler,,,2/2/1981,1,,Now Sherwin-Williams 
Archie Lamb Law Offices ,Archie Lamb Law Offices ,2900 1st Ave S ,Birmingham,FPS ,,,3/1/2005,4,,Now Alexander Shunnarah 
Astralloy Vulcan Corp,Astralloy Vulcan Corp,1550 Red Hollow Rd,Birmingham,Crumpton Sprinkler,,,7/3/1985,2,,
Astralloy Wear Technology,Astralloy Wear Technology,1550 Red Hollow Rd,Birmingham,Crumpton Sprinkler,,,1/23/1993,5,,
Atherotech ,Atherotech ,201 London Pkwy Suite 400 ,Birmingham,FPS ,,,81-02,1,,
Atlantis Event Center,VU Enterprise Inc.,4000 Avenue I ,Birmingham,Alabama Sprinkler,,,6/22/2011,1,,
Auto Wize Dist. Center ,"Mann Bros. Building Co., Inc.",2714 2nd Avenue N,Birmingham,Crumpton Sprinkler,,,3/4/1982,1,2,Empty BLDG
Autopsy Relocation ,Autopsy Relocation ,1960 6th Ave S ,Birmingham,FPS ,,,7/1/2001,3,,
Auxilary Post Office ,USPS,4th Avenue & 20th St N,Birmingham,Crumpton Sprinkler,,,7/26/1988,2,2,
B&G Hanger ,B&G Hanger ,4900 69th St N ,Birmingham,FPS ,,,3/1/2003,1,2,Now HMC 
Baptist Health Center ,Baptist Health Center ,9709 Pkwy E ,Birmingham,FPS ,,,11/6/2000,1,2,Now Schaeffer Eye Center 
Baptist Montclair ,Baptist Montclair ,Heliport ,Birmingham,FPS ,,,5/1/2005,1,2,
Baptist Princeton Medical Center,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,7/16/2007,1,2,
Baptist Princeton Medical Center,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,6/5/2006,1,2,
Baptist Princeton Medical Center,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,10/1/2006,2,2,
Baptist Princeton Medical Center,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,2/17/2005,1,2,
Baptist Princeton Medical Center,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,2/4/2005,1,,
Baptist Princeton Medical Center,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,1/28/2005,1,2,
Baptist Princeton Medical Center,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,5/1/2005,1,,
Baptist Princeton Medical Center,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,6/1/2005,1,,
Baptist Princeton Medical Center,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,2/1/2004,1,,
Baptist Princeton Medical Center,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,2/1/2004,1,,
Baptist Princeton Medical Center,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,6/1/2004,1,2,
Baptist Princeton Medical Center,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,7/29/2004,1,2,
Baptist Princeton Medical Center,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,12/23/2004,1,,
Baptist Princeton Medical Center - 3rd Floor Cath Lab/Rehab ,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,3/1/2001,1,,
Baptist Princeton Medical Center - Emergency Dept. Center ,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,6/1/2003,1,2,
Baptist Princeton Medical Center - Mammography ,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,6/1/2001,1,2,
Baptist Princeton Medical Center - POB III Diagnostic Center ,Baptist Princeton Medical Center,701 Princeton Ave SW ,Birmingham,FPS ,,,7/1/2003,1,2,
Baptist Princeton Medical Center POB II ,Baptist Princeton Medical Center POB II ,701 Princeton Ave SW ,Birmingham,FPS ,,,1/27/2005,1,2,
Barry Management Office ,Barry Management Office ,1819 5th Ave N ,Birmingham,FPS ,,,9/1/2002,1,,Now Bradley
McCallum Basic Health Science Building,UAB,200 University Blvd ,Birmingham,Crumpton Sprinkler,,,2/8/1983,4,2,
BCBGMAXAZRIA ,BCBGMAXAZRIA ,200 Summit Blvd,Birmingham,FPS ,,,10/1/2001,1,,Closed
Bermco Warehouse,Bermco Warehouse,,Birmingham,Crumpton Sprinkler,,,1/20/1984,1,,
Berry Building,Berry Building,2015 2nd Avenue N,Birmingham,Crumpton Sprinkler,,,4/4/1986,1,,
Beverly Health Care,Beverly Health Care,733 Mary Vann Lane,Birmingham,Crumpton Sprinkler,,,11/19/1994,1,,Now Birmingham Nursing and Rehabilitation Center East 
BIBB Foster & Conwell Attorneys,BIBB Foster & Conwell Attorneys,"2011, 2015, 2017 2nd Avenue N",Birmingham,Crumpton Sprinkler,,,10/29/1975,2,,
Birmingham Airport Fire Station,Birmingham Airport,,Birmingham,Crumpton Sprinkler,,,3/4/1994,4,,
Birmingham City Jail,Birmingham City Jail,501 6th Avenue S,Birmingham,Crumpton Sprinkler,,,12/14/1984,4,,
Birmingham City Jail,Birmingham City Jail,,Birmingham,John M. Fuller Architect Inc,,,4/16/1984,2,2,
Birmingham Civil Rights Institute ,Birmingham Civil Rights Institute ,520 16th St N,Birmingham,Crumpton Sprinkler,,,4/9/1992,2,2,
Birmingham Civil Rights Institute ,Birmingham Civil Rights Institute ,520 16th St N,Birmingham,Crumpton Sprinkler,,,9/3/1991,8,,
Birmingham Egg,Birmingham Egg,2511 3rd St W,Birmingham,Crumpton Sprinkler,,,4/29/1986,1,,
Birmingham Festival Theatre,Birmingham Festival Theatre,1901 11th Avenue S,Birmingham,Crumpton Sprinkler,,,2/5/1988,3,,
Birmingham Food Terminal ,Birmingham Food Terminal ,,Birmingham,Crumpton Sprinkler,,,9/11/1984,1,,
Birmingham Food Terminal 13,Birmingham Food Terminal ,,Birmingham,Crumpton Sprinkler,,,8/1/1987,1,,
Birmingham Humane Society ,Birmingham Humane Society ,300 Snow Dr ,Birmingham,FPS ,,,3/1/2004,4,,
Birmingham Park Recreation Board - New Fountain Heights Recreation Center ,Birmingham Park Recreation Board ,1101 15th Ave N,Birmingham,TFP ,TC1551,,5/29/2012,1,,
Birmingham Plaza Ofiice Building,Birmingham Plaza Ofiice Building,21st St & 6th Avenue N,Birmingham,Crumpton Sprinkler,,,9/12/1984,1,,
Birmingham Police West Precinct ,Birmingham Police West Precinct ,2249 Bessemer Rd,Birmingham,TFP ,TC1553,,6/13/2012,3,,
Birmingham Race Course ,Birmingham Race Course ,1000 John Rogers Dr,Birmingham,FPS ,,,11/1/2005,3,,
Birmingham Race Course ,Birmingham Race Course ,1000 John Rogers Dr,Birmingham,FPS ,,,10/1/2005,2,,
Birmingham Southern College - Sports Stadium ,Birmingham Southern College,900 Arkadelphia Rd ,Birmingham,FPS ,,,8/1/2008,5,,
Birmingham Tobacco Warehousde,Birmingham Tobacco Warehousde,,Birmingham,Crumpton Sprinkler,,,1/15/1981,1,,
Black Diamond Coal Mining Co,Black Diamond Coal Mining Co,2229 1st Avenue,Birmingham,Crumpton Sprinkler,,,7/20/1982,1,2,Now Magic City Casket Company
Borden Inc,Borden Inc,3950 Valley E Industrial Dr,Birmingham,Crumpton Sprinkler,,,1/9/1986,7,2,Now Cardinal Health 
Bradford Co,Bradford Co,5th Avenue & 20th St N,Birmingham,Crumpton Sprinkler,,,2/25/1983,1,,
"Brasfield & Gorrie - 8th Flr Office, Corridor & Elevator Lobby ",Brasfield & Gorrie ,1819 5th Ave N ,Birmingham,FPS ,,,4/1/2003,1,2,Now Bradley
Brasfield & Gorrie - Mailbox ,Brasfield & Gorrie ,3021 7th Ave S,Birmingham,FPS ,,,5/1/2003,1,2,
Brookwood Village - Jos. A. Banks,Brookwood Village,,Birmingham,Crumpton Sprinkler,,,12/27/1983,1,2,
Brookwood Village - Opti World,Brookwood Village Shopping Ctr,,Birmingham,Crumpton Sprinkler,,,8/6/1984,1,2,Closed
Bruno's,Bruno's,1533 Montclair Rd,Birmingham,Crumpton Sprinkler,,,1/1/1995,1,2,Now Morningstar mini-storage 
Bruno's,Bruno's,1533 Montclair Rd,Birmingham,Crumpton Sprinkler,,,3/6/1984,4,2,Now Morningstar mini-storage 
Bruno's,Bruno's,,Birmingham,Crumpton Sprinkler,,,5/31/1994,1,2,
Bruno's,Bruno's,,Birmingham,Crumpton Sprinkler,,,4/21/1993,1,2,
Bruno's,Brunos',,Birmingham,Crumpton Sprinkler,,,5/31/1994,1,2,
Bruno's ,Bruno's ,,Birmingham,Crumpton Sprinkler,,,8/27/1992,7,2,
Bruno's ,Bruno's ,,Birmingham,Crumpton Sprinkler,,,4/21/1993,1,2,
Bruno's Foodmax # 72,Bruno's Foodmax # 72,Parkway E - Roebuck,Birmingham,Crumpton Sprinkler,,,11/30/1984,1,2,
Bruno's Inc,Bruno's,200 W Oxmoor Rd ,Birmingham,Crumpton Sprinkler,,,4/21/1993,1,2,Empty BLDG
Bruno's Inc,Bruno's,200 W Oxmoor Rd ,Birmingham,Crumpton Sprinkler,,,5/31/1994,1,2,Empty BLDG
Bruno's Truck Garage,Bruno's Truck Garage,400 Industrial Dr,Birmingham,Crumpton Sprinkler,,,5/6/1992,1,2,
Bruno's Warehouse,Bruno's Warehouse,300 Research Prkwy,Birmingham,Crumpton Sprinkler,,,4/5/1991,36,2,
BTNB Operation Center,BTNB Operation Center,6434 1st Avenue N,Birmingham,Crumpton Sprinkler,,,10/7/1993,4,2,
Buffalo Rock bldg Expansion ,Buffalo Rock ,111 Oxmoor Rd,Birmingham,TFP ,TC1429,,1/14/2009,1,,
Callahan Eye Foundation Hospital ,Callahan Eye Foundation Hospital ,1720 University Blvd,Birmingham,Alabama Sprinkler,,,1/26/2009,2,2,
Camelot Music Suite # 12,Camelot Music,,Birmingham,Crumpton Sprinkler,,,1/27/1992,1,,
Canon-Tenant Improvement,Canon-Tenant Improvement,1030 London Dr Suite 300,Birmingham,TFP ,TC1624,,10/31/2013,1,,
Century Plaza - Casual Corner ,Century Plaza - Casual Corner ,7580 Crestwood Blvd ,Birmingham,Crumpton Sprinkler,,,10/21/1983,1,,Closed
Century Plaza - Foot locker ,Century Plaza,7580 Crestwood Blvd ,Birmingham,Crumpton Sprinkler,,,8/23/1988,1,2,Closed
Century Plaza - Foot locker ,Century Plaza,7580 Crestwood Blvd ,Birmingham,Crumpton Sprinkler,,,9/23/1988,1,2,Closed
Century Plaza - J Riggins ,Century Plaza - J Riggins ,7580 Crestwood Blvd ,Birmingham,Crumpton Sprinkler,,,2/9/1983,1,2,Closed
Century Plaza- Mc Rae's,Century Plaza,7580 Crestwood Blvd ,Birmingham,Crumpton Sprinkler,,,5/31/1990,1,2,Closed
"Charles Scwab & Co, Inc ","Charles Scwab & Co, Inc ","2550 Acton Rd, Suite 200",Birmingham,FPS ,,,5/1/2001,1,,Now McLead Software
City of Birmingham Fire Station #14 ,City of Birmingham Fire Station #14 ,210 Graymont Ave W ,Birmingham,TFP ,TC1546,,6/11/2012,4,,
Clark James Hanlin & Hunt ,Clark James Hanlin & Hunt ,17 20th St N Suite 600,Birmingham,FPS ,,,11/1/2004,1,2,
Clark Memorial Theatre,Clark Memorial Theatre,1116 26th St S,Birmingham,FPS ,,,6/1/2002,2,,Now Virginia Samford Theatre
Cobb - Adams - Benton Inc,Cobb - Adams - Benton Inc,Morris Avenue ,Birmingham,Crumpton Sprinkler,,,7/28/1980,3,,
Cocina Superior ,Cocina Superior ,587 Brookwood Village ,Birmingham,TFP ,TC1168,,6/27/2005,2,,
Communications Upgrade Room,Central Support Building,1530 3rd Avenue S,Birmingham,Alabama Sprinkler,,,11/20/2000,1,,
Community Health Services Building,Community Health Services Building,930 20th St S ,Birmingham,Alabama Sprinkler,,,3/24/2004,2,,
Compass Bank,Compass Bank,,Birmingham,FPS ,,,5/1/2008,1,,
Compass Bank,Compass Bank,37th St S ,Birmingham,FPS ,,,6/5/2006,1,,
Compass Bank,Compass Bank,Service Center ,Birmingham,FPS ,,,2/17/2005,1,,
Compass Bank,Compass Bank,,Birmingham,FPS ,,,4/1/2000,1,,
Compass Bank ,Compass Bank,,Birmingham,FPS ,,,11/1/2000,1,,
Compass Bank - 4th Flr ,Compass Bank,,Birmingham,FPS ,,,11/1/2003,1,,
Compass Bank - Administrative Services ,Compass Bank,,Birmingham,FPS ,,,6/1/2000,1,,
Compass Bank - Business Loan Center ,Compass Bank,,Birmingham,FPS ,,,3/1/2002,1,,
Compass Bank - Corporate Finance 4th FLr ,Compass Bank,,Birmingham,FPS ,,,6/1/2000,1,,
Compass Bank - Daniel Building,Compass Bank,,Birmingham,FPS ,,,5/10/2006,1,,
Compass Bank - Humane Resources Dept ,Compass Bank,,Birmingham,FPS ,,,11/1/2003,1,,
"Concord Center - Huckaby, Scott & Dukes PC ",Concord Center ,2100 3rd Ave N ,Birmingham,FPS ,,,1/1/2004,1,,
Concord Center - Surin Thai Bowl ,Concord Center ,2100 3rd Ave N ,Birmingham,FPS ,,,1/1/2004,1,,
Condominiums,Condominiums,2600 Highland Ave,Birmingham,FPS ,,,7/1/2007,21,,
Connecticut Mutual Life Insurance ,Connecticut Mutual Life Insurance ,2209 / 2211 Morris Avenue ,Birmingham,Crumpton Sprinkler,,,1/22/1995,2,,
Consultamerica East Haven ,Consultamerica East Haven ,7110 1st Avenue N,Birmingham,Alabama Sprinkler,,,6/7/2003,2,,
Cooper Green Hospital,Cooper Green Hospital,1515 6th Avenue S,Birmingham,Crumpton Sprinkler,,,6/19/1990,1,,
Cooper Green Hospital,Cooper Green Hospital,1515 6th Avenue S,Birmingham,Alabama Sprinkler,,,11/12/2002,1,,
Coor's Distribution Facility,Coor's Distribution Facility,25 13th St W Ensley,Birmingham,Crumpton Sprinkler,,,12/29/1993,1,,
Corroon & Black of AL Offices,Corroon & Black for AL ,Woodoward Building,Birmingham,Crumpton Sprinkler,,,3/9/1985,1,,
Country Cottage Retirement Home,Country Cottage,2124 Old Springville Rd,Birmingham,Crumpton Sprinkler,,,11/3/1990,1,,
Cowin Equipment Co,Cowin Equipment Co,2238 Pinson Valley Prkwy,Birmingham,Crumpton Sprinkler,,,5/8/1989,1,,
CPSI Offices ,CPSI Offices ,22nd St N ,Birmingham,Crumpton Sprinkler,,,10/6/1993,1,,
Crescent Heights Baptist Church ,Crescent Heights Baptist Church ,1900 Margaret Avenue ,Birmingham,Crumpton Sprinkler,,,4/18/1989,1,,
Damsky Paper Company,Damsky Paper Company,3501 1st Ave N,Birmingham,Crumpton Sprinkler,,,11/22/1982,1,,
Damsky Paper Company,Damsky Paper Company,3501 1st Ave N,Birmingham,Crumpton Sprinkler,,,6/7/1985,1,,
Daniel Payne Middle School ,Daniel Payne Middle School ,1500 Daniel Payne Dr,Birmingham,TFP ,TC1431,,1/15/2010,3,,
Daniels Industrial Metals ,Daniels Industrial Metals ,6045 S Industrial Dr,Birmingham,Crumpton Sprinkler,,,5/4/1989,3,,
Delwood Furniture Co,Delwood Furniture Co,,Birmingham,Crumpton Sprinkler,,,1/1/1977,1,,
Dermapathology ,Dermapathology ,1960 6th Ave S ,Birmingham,FPS ,,,11/1/2002,1,,
Diamond Displays ,Diamond Displays ,3401Mary Taylor Rd ,Birmingham,FPS ,,,9/25/2000,2,,
Diversified Contractors - New Warehouse ,Diversified Contractors ,3350 Ball St,Birmingham,TFP ,TC1590,,3/1/2013,1,,
Doane Pet Care,Doane Pet Care,1904 16th St N ,Birmingham,TFP ,TC1120,,10/10/2003,1,,closed
"Donaldson, Guin, & Slate ","Donaldson, Guin, & Slate ",300 Richard Arrington Jr. Blvd Suite 600,Birmingham,FPS ,,,2/1/2001,1,,
Doyle Law Firm,Doyle Law Firm,2100 Southbridge Prkwy Suite 650,Birmingham,FPS ,,,7/18/2006,1,,
Eastern Urology Associates PA ,Eastern Urology Associates PA ,48 Medical Park Dr E Suite 350 ,Birmingham,FPS ,,,7/20/2004,1,,
Eastwood Mall - Disc Jockey Records,Eastwood Mall,I-20 & Hwy 78 ,Birmingham,Crumpton Sprinkler,,,9/5/1990,1,,Closed 
EBSCO Media ,EBSCO Industries,801 5th Avenue S,Birmingham,Crumpton Sprinkler,,,1/2/1991,1,,
EBSCO Media ,EBSCO Industries,801 5th Avenue S,Birmingham,Crumpton Sprinkler,,,11/19/1982,2,,
Eisys ,Eisys ,112 28th St S,Birmingham,FPS ,,,5/11/2005,1,,
Emergency 911 Facility,Emergency 911 Facility,,Birmingham,Crumpton Sprinkler,,,1/3/1990,3,,
"Emond, Vines, Gorham & Waldrep Inc","Emond, Vines, Gorham & Waldrep Inc",2101 6th Ave N Suite 700,Birmingham,FPS ,,,6/28/2004,1,,
Energen  ,Energen  ,605 Richard Arrington JR Blvd,Birmingham,FPS ,,,2/1/2006,1,,
Energen Resources ,Energen Resources ,605 Richard Arrington JR Blvd,Birmingham,FPS ,,,5/1/2007,1,,
Energen Resources ,Energen Resources ,605 Richard Arrington Jr Blvd N ,Birmingham,FPS ,,,6/1/2005,1,,
Energen Resources ,Energen Resources ,605 Richard Arrington Jr Blvd ,Birmingham,FPS ,,,11/28/2005,1,,
EOC Sprinkler System,EOC Sprinkler System,710 N 20th St,Birmingham,Alabama Sprinkler,,,4/27/2002,3,,
Estes Nursing Home,Estes Nursing Home,1201 22nd St N,Birmingham,Alabama Sprinkler,,,10/29/1999,1,,
Expo Display - Mezzanine Fit-Up,Expo Display ,3401 Mary Taylor Rd ,Birmingham,FPS ,,,8/1/2006,1,,
Expo Displays ,Expo Display ,3401 Mary Taylor Rd ,Birmingham,FPS ,,,11/1/2004,2,,
EXPO Displays ,EXPO Displays ,3401 Mary Taylor Rd ,Birmingham,FPS ,,,8/1/2008,1,,
Fair Haven Nursing Home,Fair Haven Nursing Home,1424 Montclair Rd,Irondale ,Crumpton Sprinkler,,,4/9/1990,4,,
Fair Haven Nursing Home,Fairhaven Nursing Home,1424 Monclair Rd,Irondale ,Crumpton Sprinkler,,,10/16/1991,1,,
Faulkner University,Faulkner University,488 Palisades Blvd,Birmingham,Crumpton Sprinkler,,,3/12/1993,1,,Now Virginia College 
Faulkner University,Faulkner University,488 Palisades Blvd,Birmingham,Crumpton Sprinkler,,,1/6/1991,1,,Now Virginia College 
Federal Building & US Courthouse,Federal Building & US Courthouse,1800 Fifth Avenue N,Birmingham,Crumpton Sprinkler,,,2/20/1984,5,,
Federal Express,Federal Express,50 Van Station ,Birmingham,Crumpton Sprinkler,,,6/3/1987,3,,
Fedex Distribution Center Maintenance Shop ,Fedex Distribution Center ,4300 Coalburg Rd,Birmingham,TFP ,TC1518,,8/17/2011,1,,
Fedex Ground,Fedex Ground,4901 Alton Court ,Birmingham,TFP ,TC1380,,9/5/2008,3,,
Fedex Ground,Fedex Ground,4901 Alton Court ,Birmingham,TFP ,TC1538,,3/9/2012,3,,
Fed-Ex Ground ,Fed-Ex Ground ,4901 Alton Court ,Birmingham,TFP ,TC1124,,1/30/2004,5,,
Fed-Ex Ground ,Fed-Ex Ground ,4901 Alton Court ,Birmingham,TFP ,TC1137,,8/2/2004,3,,
Fed-Ex Ground ,Fed-Ex Ground ,4901 Alton Court ,Birmingham,TFP ,TC1163,,2/22/2005,1,,
Fields & Co,Fields & Co,211 37th St N,Birmingham,Alabama Sprinkler,,,2/28/1996,1,,
Financial Center,Financial Center,5th Avenue & 20th St N,Birmingham,Crumpton Sprinkler,,,7/16/1989,1,,
First Commercial Bank,First Commercial Bank,Lakeshore Dr,Birmingham,FPS ,,,5/1/2006,1,,
Food Fair,FoodFair,1st Avenue N & 65th St,Birmingham,Crumpton Sprinkler,,,11/3/1990,3,,
Food Fair,FoodFair,1st Avenue N & 65th St,Birmingham,Crumpton Sprinkler,,,11/3/1990,3,,
Food World,Food World,2804 Crest Wood Blvd,Birmingham,Crumpton Sprinkler,,,10/2/1991,2,,Empty BLDG 
Food World,Food World,Five Points W,Birmingham,Crumpton Sprinkler,,,1/6/1990,1,,
Fortis College ,Fortis College,100 London Pkwy Suite 150 ,Birmingham,FPS ,,,11/1/2007,1,,
Foster Conwell Law Offices,Foster Conwell & Gloor,2015 2nd Avenue N,Birmingham,Crumpton Sprinkler,,,2/5/1982,1,,Now Berry BLDG 
Garden Court - Motel Birmingham,Garden Court,7905 Crestwood Blvd,Birmingham,Crumpton Sprinkler,,,1/9/1985,7,,
Garden of Hope,Garden of Hope,,Birmingham,FPS ,,,7/1/2005,3,,
"Garrison, Scott, Gambel & Rosenthal ","Garrison, Scott, Gambel & Rosenthal ",2224 1st Ave N ,Birmingham,FPS ,,,1/25/2001,1,,
Gateway Family & Child Services,Gateway Campus for Family,5201 Messer Airport Hwy,Birmingham,Crumpton Sprinkler,,,8/31/1992,8,,
Glasforms - Bldg 6 ,Glasforms - Bldg 6 ,3850 Pinson Valley Pkwy ,Birmingham,TFP ,TC1496,,11/15/2010,3,,
Glasforms - Bldg 6 Addition ,Glasforms - Bldg 6 ,3850 Pinson Valley Pkwy ,Birmingham,TFP ,TC1581,,1/17/2013,2,,
Glasforms Inc ,Glasforms Inc ,3969 Valley East Industrial Park ,Birmingham,TFP ,TC1111,,8/29/2003,2,,Now Hose Power USA
Glen Iris Elementary ,Glen Iris Elementary ,1115 11th St S ,Birmingham,Alabama Sprinkler,,,2/17/2005,3,,
Golden Flake ,Golden Flake,110 6th St S,Birmingham,Crumpton Sprinkler,,,2/7/1988,1,,
Golden Years Domiciliary,Golden Years Domiciliary,317 Plaza Dr,Birmingham,Crumpton Sprinkler,,,12/13/1989,1,,
Gold's Gym ,Shops of Colonnade ,3427 Colonnade Prkwy ,Birmingham,TFP ,TC1150,,1/25/2005,3,,
GoodYear Tire & Rubber Co,GoodYear Tire & Rubber Co,3230 Messer - Airport Hwy ,Birmingham,Crumpton Sprinkler,,,8/4/1989,1,,
GoodYear Tire & Rubber Co,GoodYear Tire & Rubber Co,3230 Messer - Airport Hwy ,Birmingham,Alabama Sprinkler,,,1/21/2004,1,,
GoodYear Tire & Rubber Co,GoodYear Tire & Rubber Co,922 E Meighan Blvd,Gadsden ,Alabama Sprinkler,,,2/24/2006,1,,
Grandview Office Plaza,Grandview Office Plaza,Us Hwy 280   ,Birmingham,Crumpton Sprinkler,,,2/24/1989,6,,
Graymount Supermarket Renovations,Graymount Supermarket Renovations,,Birmingham,Crumpton Sprinkler,,,3/24/1987,2,,
Green Acres Middle School,Green Acres Middle School,1220 67th St Ens,Birmingham,Alabama Sprinkler,,,2/7/2000,3,,
GSA Tenant Fit-Up,GSA Tenant Fit-Up,,Birmingham,Crumpton Sprinkler,,,9/19/1995,1,,
Hancock Fabrics ,Hancock Fabrics,1721 Montgomery Hwy ,Birmingham,Crumpton Sprinkler,,,11/10/1989,1,,
Hancock Fabrics ,Hancock Fabrics,1721 Montgomery Hwy ,Birmingham,Crumpton Sprinkler,,,8/1/1989,4,,
Harbert Management Corp ,Harbert Management Corp ,4904 69th St N ,Birmingham,FPS ,,,12/1/2007,4,,
HARCO Drug Warehouse Inc,HARCO Drug Warehouse Inc,,Birmingham,Crumpton Sprinkler,,,3/2/1989,1,,
Haverpride Farms,Haverpride Farms,155 Cleage Dr,Birmingham,Crumpton Sprinkler,,,8/18/1988,2,,
Hayes International Corp,Hayes International Corp,,Birmingham,Crumpton Sprinkler,,,9/4/1984,1,,
Healthsouth Corp ,Healthsouth Corp ,1 Heartsouth Pkwy ,Homewood,FPS ,,,5/17/2006,1,,
Healthsouth Corp ,Healthsouth Corp ,1 Healthsouth Pkwy ,Homewood,FPS ,,,7/21/2004,1,,
HealthSouth Medical Center,HealthSouth Medical Center,1201 11th Avenue S,Birmingham,Crumpton Sprinkler,,,2/3/1992,2,,
Heavenly Place Manor ,Heavenly Place Manor ,4235 44th Avenue N,Birmingham,Crumpton Sprinkler,,,7/2/1991,2,,
HESCO Inc,HESCO Inc,1329 4th Avenue S,Birmingham,Crumpton Sprinkler,,,2/9/1993,1,,
