PROJECT,PROJECT OWNER,ADDRESS,CITY,CONTRACTOR,CONTRACT NO.,INSPECTION NO.,DATE,# of Drwgs,Drawer,Comments 
Food World,Food World,1001 W Lake Mall,Bessemer,Crumpton Sprinkler,,,5/10/1993,1,,Now Empty BLDG
Graham & Co Inc ,Graham & Co Inc ,Greenwood Exchange ,Bessemer,TFP ,TC1030,,9/12/1999,3,,
Heilig - Meyers Store #290,West Town Plaza Shopping Center,Bessemer Super Hwy,Bessemer,Alabama Sprinkler,,,3/9/1998,1,,
J. Adkins Mechanical LLC - New Office & Warehouse/Shop ,J. Adkins Mechanical LLC ,150 Business Park,Bessemer,TFP ,TC1504,,3/18/2011,2,,
Jorge Diaz Lounge ,Jorge Diaz Lounge,3430 Bessemer Super Hwy,Brighton,Alabama Sprinkler,,,11/19/2007,1,,
MASCO,MASCO,Morgan Rd,Bessemer,TFP ,TC1347,,2/11/2008,1,,
MBUSI - Bessemer Warehouse ,MBUSI - Bessemer Warehouse ,Permeter Park,Bessemer,TFP ,TC1055,,12/12/2000,2,,
Mcadory Elem. School,Mcadory Elem. School,6251 Eastern Valley Rd ,McCalla,Crumpton Sprinkler,,,1/3/1995,2,,
Mercedes Benz - Office Addition ,Mercedes Benz  ,136 Industrial Dr ,Bessemer,TFP ,TC1067,,9/24/1999,1,,Now Birmingham Boulders
Mercedes Benz US International Inc - Cat Logistics Bessemer Warehouse ,Mercedes Benz US International Inc ,,Bessemer,TFP ,TC1123,,11/13/2003,1,,
NAVFAC Southeast Division,NAVFAC Southeast Division,1001 4th Avenue SouthWest,Bessemer,Alabama Sprinkler,,,4/28/2009,3,2,
Oaks on Parkwood,Oaks on Parkwood ,3329 Parkwood Rd SE ,Bessemer,FPS ,,,8/1/2002,3,,
Oris Manufacturing & Distribution ,Oris Manufacturing & Distribution ,6324 Bay Dr,Bessemer,TFP ,TC1087,TI-1352,8/14/2002,5,,
Oris Manufacturing & Distribution - Exhaust Revision ,Oris Manufacturing & Distribution ,6324 Bay Dr,Bessemer,TFP ,TC1087,TI-1352,8/28/2003,1,,
Park West Corporate Center ,Park West Corporate Center ,Park West Dr,Bessemer,TFP ,TC1352,,1/4/2007,6,,
Park West Corporate Center ,Park West Corporate Center ,Park West Dr,Bessemer,TFP ,TC1289,,9/14/2007,5,,
Piggly Wiggly,Piggly Wiggly,2400 J Terrell Wooten Dr ,Bessemer,Crumpton Sprinkler,,,1/18/1988,29,2,
Piggly Wiggly ,"Distributing Co, Inc. ",2400 J Terrell Wooten Dr ,Bessemer,Crumpton Sprinkler,,,3/3/1988,29,2,
Piggly Wiggly ,Piggly Wiggly ,2400 J Terrell Wooten Dr ,Bessemer,Crumpton Sprinkler,,,11/1/1991,1,,
Public Safety Center ,Public Safety Center ,,Bessemer,FPS ,,,3/1/2002,8,,
Reality South Branch Office ,Reality South Branch Office,Eastern Valley Rd & Bell Hill Rd ,Bessemer,FPS ,,,4/1/2003,1,2,
Realty Building ,Realty Building ,19th St & 3rd Avenue ,Bessemer,Crumpton Sprinkler,,,6/28/1990,1,,
